college,collegepop,collegemask
Palm Beach State College,46870,TRUE
Pasco-Hernando State College,11947,TRUE
Pensacola State College,9655,TRUE
Polk State College,11414,TRUE
Rasmussen College at Fort Myers,8146,TRUE
Rollins College,2133,TRUE
Saint Leo University,16207,TRUE
Santa Fe College,14588,TRUE
Seminole State College of Florida,17550,TRUE
South Florida State College,2809,TRUE
Southeastern College at West Palm Beach,540,TRUE
Southeastern University,7163,TRUE
St. Johns River State College,10514,FALSE
St. Petersburg College,28853,TRUE
St. Thomas University,4538,TRUE
"State College of Florida, Manatee-Sarasota",22,TRUE
Stetson University,4252,TRUE
Strayer University at Fort Lauderdale,,FALSE
Tallahassee Community College,11782,TRUE
The College of the Florida Keys,371,TRUE
University of Central Florida,64318,TRUE
University of Florida,57807,TRUE
University of Miami,17003,TRUE
University of North Florida,16500,TRUE
University of South Florida,50755,TRUE
University of South Florida Sarasota-Manatee,2024,TRUE
"University of South Florida, St. Petersburg",4675,TRUE
University of Tampa,8697,TRUE
University of West Florida,13040,TRUE
Valencia College,44834,TRUE
Webber International University,626,TRUE
Abraham Baldwin Agricultural College,3394,TRUE
Agnes Scott College,921,TRUE
Albany State University,6371,TRUE
Atlanta Metropolitan State College,2800,TRUE
Augusta University,8220,TRUE
Berry College,2392,TRUE
Brenau University,2932,TRUE
Clark Atlanta University,3992,TRUE
Clayton State University,7003,TRUE
College of Coastal Georgia,3663,TRUE
Columbus State University,8452,TRUE
Covenant College,1068,TRUE
Dalton State College,,TRUE
East Georgia State College,3003,TRUE
Emmanuel College,953,TRUE
Emory University,7118,TRUE
Fort Valley State University,2752,TRUE
Georgia College & State University,6952,TRUE
Georgia Gwinnett College,12287,TRUE
Georgia Highlands College,6013,TRUE
Georgia Institute of Technology,29376,TRUE
Georgia Military College,8595,TRUE
Georgia Southern University,26054,TRUE
Georgia Southwestern State University,3052,TRUE
Georgia State University,32816,TRUE
Gordon State College,3986,TRUE
Kennesaw State University,35846,TRUE
LaGrange College,1049,TRUE
Mercer University,8653,TRUE
Middle Georgia State University,7341,TRUE
Morehouse College,2238,TRUE
Oglethorpe University,1250,TRUE
Piedmont College,2361,TRUE
Savannah State University,4429,TRUE
Shorter University,1520,TRUE
South Georgia State College,2540,TRUE
University of Georgia,29848,TRUE
University of North Georgia,18782,TRUE
University of West Georgia,13520,TRUE
Valdosta State University,11341,TRUE
Wesleyan College,3213,TRUE
Young Harris College,1202,TRUE
University of Guam,3917,TRUE
Chaminade University of Honolulu,2389,TRUE
Hawaii Pacific University,4146,TRUE
Kapiolani Community College,7095,TRUE
Leeward Community College,6805,TRUE
University of Hawaii Maui College,3302,TRUE
University of Hawaii at Hilo,3539,TRUE
University of Hawaii at Manoa,17612,TRUE
University of Hawaii-West Oahu,,TRUE
Boise State University,22939,TRUE
Brigham Young University-Idaho,14934,TRUE
College of Idaho,1077,TRUE
College of Southern Idaho,,TRUE
Idaho State University,12643,TRUE
Lewis-Clark State College,3746,TRUE
North Idaho College,2131,TRUE
Northwest Nazarene University,2168,TRUE
University of Idaho,12072,TRUE
Augustana College,2647,TRUE
Aurora University,5833,TRUE
Benedictine University,5100,TRUE
Blackburn College,554,TRUE
Bradley University,5844,TRUE
Chicago State University,3101,TRUE
Columbia College Chicago,7312,TRUE
Concordia University Chicago,5755,TRUE
DePaul University,22769,TRUE
Dominican University,3127,TRUE
Eastern Illinois University,7030,TRUE
Elmhurst University,3481,TRUE
Eureka College,614,TRUE
Governors State University,5185,TRUE
Greenville University,2565,TRUE
Illinois College,959,TRUE
Illinois Institute of Technology,7266,TRUE
Illinois State University,20784,TRUE
Illinois Wesleyan University,1649,TRUE
Kaskaskia College,3107,TRUE
Knox College,1356,TRUE
Lake Forest College,1542,TRUE
Lake Land College,4466,TRUE
Lewis University,6506,TRUE
Loyola University Chicago,16673,TRUE
McNeese State University,7638,TRUE
Nicholls State University,6327,TRUE
Northwestern State University of Louisiana,10572,TRUE
Southeastern Louisiana University,14285,TRUE
Southern University Law Center,576,TRUE
Southern University and A&M College,32,TRUE
Southern University at New Orleans,2535,TRUE
Tulane University of Louisiana,12384,TRUE
University of Louisiana Monroe,9290,TRUE
University of Louisiana at Lafayette,19291,TRUE
University of New Orleans,2535,TRUE
Bates College,1787,TRUE
Bowdoin College,7251,TRUE
Colby College,1917,TRUE
Husson University,3648,TRUE
Maine Maritime Academy,1037,TRUE
Saint Joseph's College of Maine,2291,TRUE
Thomas College,1802,TRUE
University of Maine,9430,TRUE
University of Maine Farmington,2080,TRUE
University of Maine at Augusta,4014,TRUE
University of Maine at Fort Kent,1760,TRUE
University of Maine at Machias,701,TRUE
University of Maine at Presque Isle,138,TRUE
University of New England,13743,TRUE
University of Southern Maine,7794,TRUE
College of the Marshall Islands,1032,TRUE
Bowie State University,6148,TRUE
Coppin State University,2893,TRUE
Frostburg State University,5396,TRUE
Goucher College,2236,TRUE
Hood College,1161,TRUE
Johns Hopkins University,25151,TRUE
Loyola University Maryland,3925,TRUE
McDaniel College,2816,TRUE
Morgan State University,7747,TRUE
Mount St. Mary's University,1653,TRUE
Notre Dame of Maryland University,2475,TRUE
Salisbury University,8713,TRUE
St. Mary's College of Maryland,1598,TRUE
Stevenson University,3876,TRUE
Towson University,22705,TRUE
United States Naval Academy,4495,TRUE
University of Baltimore,2097,TRUE
University of Maryland Eastern Shore,3490,TRUE
"University of Maryland, Baltimore",13662,TRUE
